split,method,type,n,success_count,success_rate,success_wilson_95,mean_base_reward,mean_min_static_clearance,mean_min_dynamic_clearance,worst_static_clearance,worst_dynamic_clearance,successful_path_efficiency,successful_navigation_time,full_speed_fraction_after_2s,near_upper_action_fraction_after_2s,high_risk_mean_speed_episode_average,high_risk_braking_fraction_episode_average,risk_exposed_episodes,risk_no_response_episodes,risk_no_response_fraction_exposed,braking_delay_responders_only,timeout_with_stagnation_count,static_collision_count,static_collision_rate,dynamic_collision_count,dynamic_collision_rate,timeout_count,timeout_rate,out_of_bounds_count,out_of_bounds_rate,collision_count,collision_rate
challenge,clip-seed2,crossing_left,30,8,0.26666666666666666,"[0.14182663319596317, 0.4444796169518888]",252.99555563014326,9.606371152186403,5.854196617181047,-0.4874433900905943,-0.2969626127734388,0.9774462621870064,27.2,0.984830007390983,0.9853535353535354,3.0,0.0,24,24,1.0,,0,5,0.16666666666666666,17,0.5666666666666667,0,0.0,0,0.0,22,0.7333333333333333
challenge,clip-seed2,crossing_right,30,25,0.8333333333333334,"[0.6643564949358398, 0.9266345762815145]",829.1600709608671,5.323574314087123,7.918099102240314,-0.403450453267018,2.902411249184647,0.986293807082381,27.248,0.9922236233711643,0.9930264817150063,3.0,0.0,11,11,1.0,,0,5,0.16666666666666666,0,0.0,0,0.0,0,0.0,5,0.16666666666666666
challenge,clip-seed2,head_on,30,21,0.7,"[0.5212421254128504, 0.8333525173175619]",767.9609667824271,3.6780228542322377,8.777661585103159,-0.2670807428401165,0.2166591935291268,0.9744730064850503,27.552380952380954,1.0,1.0,3.0,0.0,17,17,1.0,,0,9,0.3,0,0.0,0,0.0,0,0.0,9,0.3
challenge,clip-seed2,overtaking,30,14,0.4666666666666667,"[0.30232388907699753, 0.638577003801267]",490.6863245855568,1.058246752759976,15.87696216160674,-0.5454605689288732,5.000225275176565,0.9512415865160179,28.528571428571432,0.9857996323529412,0.9878063725490196,3.0,0.0,22,22,1.0,,0,16,0.5333333333333333,0,0.0,0,0.0,0,0.0,16,0.5333333333333333
challenge,clip-seed3,crossing_left,30,11,0.36666666666666664,"[0.21873920806100708, 0.5448643634520511]",313.6542065041937,11.194792676963925,5.229203667001093,0.163582985840895,-0.5108857485600842,0.9680458564020351,27.163636363636364,1.0,1.0,3.0,0.0,24,24,1.0,,0,0,0.0,19,0.6333333333333333,0,0.0,0,0.0,19,0.6333333333333333
challenge,clip-seed3,crossing_right,30,27,0.9,"[0.7437891742081593, 0.9654001112526658]",888.158916659127,5.835133477031348,7.969689325512445,-0.3123293062313959,3.3113213259608427,0.9801668980522575,27.40740740740741,1.0,1.0,3.0,0.0,4,4,1.0,,0,3,0.1,0,0.0,0,0.0,0,0.0,3,0.1
challenge,clip-seed3,head_on,30,26,0.8666666666666667,"[0.703186733179637, 0.9469034451594526]",884.5090650300652,4.246991211089627,8.205728752347024,-0.5247978416613561,1.1071453731725347,0.9761558666557637,27.50769230769231,1.0,1.0,3.0,0.0,11,11,1.0,,0,4,0.13333333333333333,0,0.0,0,0.0,0,0.0,4,0.13333333333333333
challenge,clip-seed3,overtaking,30,17,0.5666666666666667,"[0.3919730700081361, 0.7262251442353347]",556.3238099449787,1.6371172462615649,14.497427216829253,-0.3687937709048006,4.343145579194697,0.9610062339125155,28.105882352941173,1.0,1.0,3.0,0.0,17,17,1.0,,0,13,0.43333333333333335,0,0.0,0,0.0,0,0.0,13,0.43333333333333335
challenge,speed_tanh-seed1,crossing_left,30,29,0.9666666666666667,"[0.8332960900859082, 0.9940914096183874]",934.1786456708672,5.893174710660562,8.72555568590637,-0.0952504492508872,2.550197223547705,0.9749739543310739,27.524137931034485,0.0,0.0,2.951962250222762,0.0,3,3,1.0,,0,1,0.03333333333333333,0,0.0,0,0.0,0,0.0,1,0.03333333333333333
challenge,speed_tanh-seed1,crossing_right,30,10,0.3333333333333333,"[0.19230498083676134, 0.5121994835545616]",279.2379464056131,13.068840105285156,3.8758454049736684,0.5893290979561394,-0.4980969715950323,0.9719075436154323,27.879999999999995,0.0,0.0,2.9446595537949536,0.0,21,21,1.0,,0,0,0.0,20,0.6666666666666666,0,0.0,0,0.0,20,0.6666666666666666
challenge,speed_tanh-seed1,head_on,30,19,0.6333333333333333,"[0.4551356365479487, 0.7812607919389929]",758.3075041013298,4.305023510892843,8.262370960572293,-0.527977530092393,0.9008792454572035,0.9718359614320166,28.010526315789477,0.0,0.0,2.9742965059114863,0.0,13,13,1.0,,0,11,0.36666666666666664,0,0.0,0,0.0,0,0.0,11,0.36666666666666664
challenge,speed_tanh-seed1,overtaking,30,20,0.6666666666666666,"[0.4878005164454384, 0.8076950191632386]",664.9377777631682,2.9745089574307344,11.776773418158742,-0.4510573126327566,0.8246298539539065,0.9629714554066814,28.119999999999997,0.0,0.0,2.946723690776296,0.0,15,15,1.0,,0,10,0.3333333333333333,0,0.0,0,0.0,0,0.0,10,0.3333333333333333
challenge,speed_tanh-seed2,crossing_left,30,27,0.9,"[0.7437891742081593, 0.9654001112526658]",877.8827970429616,5.625892447630663,9.22753884518921,-0.2538792843960333,3.949063843640194,0.9810986092060203,27.614814814814817,0.0,0.0,2.908332543326663,0.0,4,4,1.0,,0,3,0.1,0,0.0,0,0.0,0,0.0,3,0.1
challenge,speed_tanh-seed2,crossing_right,30,8,0.26666666666666666,"[0.14182663319596317, 0.4444796169518888]",230.0367794352647,12.016709849412063,4.472073846779158,-0.0899949567680389,-0.4876430892199725,0.9690709938365767,28.200000000000003,0.0,0.0,2.873917105579403,0.0,23,23,1.0,,0,2,0.06666666666666667,20,0.6666666666666666,0,0.0,0,0.0,22,0.7333333333333333
challenge,speed_tanh-seed2,head_on,30,18,0.6,"[0.42320360253322475, 0.7540937188319815]",739.0891355642539,3.5582013787147657,9.083984777417177,-0.5138776974391552,1.8667866251471708,0.9692746711785324,28.26666666666667,0.0,0.0,2.9536977371313293,0.0,16,16,1.0,,0,12,0.4,0,0.0,0,0.0,0,0.0,12,0.4
challenge,speed_tanh-seed2,overtaking,30,19,0.6333333333333333,"[0.4551356365479487, 0.7812607919389929]",658.8449761204437,2.5226939180337613,12.95342203765681,-0.5455105592994602,2.541716414516092,0.9608639556482906,28.22105263157895,0.0,0.0,2.943518734005573,0.0,18,18,1.0,,0,11,0.36666666666666664,0,0.0,0,0.0,0,0.0,11,0.36666666666666664
challenge,speed_tanh-seed3,crossing_left,30,10,0.3333333333333333,"[0.19230498083676134, 0.5121994835545616]",294.5770403873002,10.38990187013867,5.510798878405992,-0.1629043089164721,-0.5169310192365133,0.9600811283078148,27.919999999999998,0.0,0.0,2.93267034524239,0.0,25,25,1.0,,0,1,0.03333333333333333,19,0.6333333333333333,0,0.0,0,0.0,20,0.6666666666666666
challenge,speed_tanh-seed3,crossing_right,30,27,0.9,"[0.7437891742081593, 0.9654001112526658]",896.7688984379193,5.633191810772195,8.78232872697324,-0.4183924136195394,3.4691229688080085,0.9672857269827484,28.3037037037037,0.0,0.0,2.943012696303162,0.0,5,5,1.0,,0,3,0.1,0,0.0,0,0.0,0,0.0,3,0.1
challenge,speed_tanh-seed3,head_on,30,22,0.7333333333333333,"[0.555520383048111, 0.8581733668040368]",787.20589685319,4.851252817062879,8.633735650385706,-0.0464253564757557,-0.2398214491377919,0.9697811449292852,27.954545454545453,0.0,0.0,2.970351430498066,0.0,13,13,1.0,,0,7,0.23333333333333334,1,0.03333333333333333,0,0.0,0,0.0,8,0.26666666666666666
challenge,speed_tanh-seed3,overtaking,30,14,0.4666666666666667,"[0.30232388907699753, 0.638577003801267]",527.4744085911216,1.1472857395769038,15.024317549376432,-0.5286744064724935,2.2824548255666635,0.9538821842057293,28.64285714285714,0.0,0.0,2.9599943398018462,0.0,23,23,1.0,,0,16,0.5333333333333333,0,0.0,0,0.0,0,0.0,16,0.5333333333333333
challenge,DWA,crossing_left,30,30,1.0,"[0.8864866068260312, 0.9999999999999999]",958.732196853565,5.5633453831510185,8.25546728982091,0.7773827259184865,2.900853935253908,0.9900809355693531,28.09333333333333,0.8713213660557899,0.8713213660557899,3.0,0.0,5,0,0.0,21.359999999999996,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
challenge,DWA,crossing_right,30,30,1.0,"[0.8864866068260312, 0.9999999999999999]",970.5867375618775,6.1094150713565085,7.421891105975413,0.9336618764221488,2.902143752428961,0.9897222124603721,28.51333333333334,0.8735502790833569,0.8735502790833569,3.0,0.0,5,0,0.0,21.2,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
challenge,DWA,head_on,30,30,1.0,"[0.8864866068260312, 0.9999999999999999]",966.1956954131315,5.284710103825148,7.755281363556717,0.5852755656664179,0.754677846723653,0.9853724960471876,28.560000000000002,0.874648751544558,0.874648751544558,2.9999259258641136,0.0,25,0,0.0,18.752,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
challenge,DWA,overtaking,30,29,0.9666666666666667,"[0.8332960900859082, 0.9940914096183874]",928.8854269420032,4.217771050901547,7.732584918951892,0.5002974675623388,0.7544790862301562,0.9828117988269915,28.59310344827586,0.8427235089866538,0.8427235089866538,2.9145925024039103,0.0021008403361344537,28,1,0.03571428571428571,19.948148148148153,1,0,0.0,0,0.0,1,0.03333333333333333,0,0.0,0,0.0
