method,dataset,outcome,zone,n,mean,std,p_upper_clip,p_brake_0_1,sample_brake_fraction,v_after,delta_v,deterministic_upper_clip_fraction,deterministic_brake_fraction
base-seed2,validation_D,failure,high_risk,443,1.406466168151752,1.0293315649032593,0.6527536434346749,0.3237666175894164,0.32308126410835214,3.0,0.0,1.0,0.0
base-seed2,validation_D,failure,static_near,100,1.4444738483428956,1.0293315649032593,0.6663567712284123,0.31053400407572124,0.31296875,3.0,0.0,1.0,0.0
base-seed2,common_encounters,all,steady,6318,1.3307150520264026,1.0293315649032593,0.6245872565619441,0.3510861612172079,0.35060046691991137,2.9986657839611612,-4.347823454104258e-05,0.9708768597657487,0.0
base-seed2,common_encounters,all,high_risk,607,1.4349431928732053,1.0293315649032593,0.6629407498756539,0.31385815739617,0.3136326194398682,3.0,0.0,1.0,0.0
base-seed2,common_encounters,all,static_near,224,1.3905138719294752,1.0293315649032593,0.6469288059053605,0.32947744969083803,0.32986886160714285,3.0,0.0,1.0,0.0
base-seed2,common_encounters,success,steady,5399,1.3069619994888617,1.0293315649032593,0.6159479388731223,0.3594711694456927,0.35878461289127617,2.9984386781008734,-5.087895644199055e-05,0.965919614743471,0.0
base-seed2,common_encounters,success,high_risk,171,1.4303277277807047,1.0293315649032593,0.6615237438823208,0.31520419384727144,0.31085526315789475,3.0,0.0,1.0,0.0
base-seed2,common_encounters,success,static_near,129,1.3426417232483856,1.0293315649032593,0.6295087936781164,0.3464877319637276,0.34532461240310075,3.0,0.0,1.0,0.0
base-seed2,common_encounters,failure,steady,919,1.4702610048557652,1.0293315649032593,0.6753420728861543,0.30182537838196394,0.3025197225244831,3.0,0.0,1.0,0.0
base-seed2,common_encounters,failure,high_risk,436,1.4367533867512274,1.0293315649032593,0.66349650222625,0.3133302394302563,0.31472190366972475,3.0,0.0,1.0,0.0
base-seed2,common_encounters,failure,static_near,95,1.4555192106648496,1.0293315649032593,0.6705833488244606,0.3063792769202827,0.3088815789473684,3.0,0.0,1.0,0.0
base-seed3,validation_D,all,steady,6442,2.060948589469142,1.059280514717102,0.8374685432714016,0.14778781617804923,0.1470525457932319,3.0,0.0,1.0,0.0
base-seed3,validation_D,all,high_risk,646,2.044214307708268,1.059280514717102,0.8334913497444875,0.1515081147873854,0.154484326625387,3.0,0.0,1.0,0.0
base-seed3,validation_D,all,static_near,310,2.0577685663777014,1.059280514717102,0.8367513164217839,0.1484593658440249,0.14969758064516128,3.0,0.0,1.0,0.0
base-seed3,validation_D,success,steady,5886,2.0570740546250157,1.059280514717102,0.8368145638378605,0.148391772120467,0.14740220438328236,3.0,0.0,1.0,0.0
base-seed3,validation_D,success,high_risk,411,2.0342049656703236,1.059280514717102,0.8329510644177179,0.15192938825492808,0.15685827250608272,3.0,0.0,1.0,0.0
base-seed3,validation_D,success,static_near,259,2.066865864407602,1.059280514717102,0.8395100376602855,0.14583454173856208,0.14653716216216217,3.0,0.0,1.0,0.0
base-seed3,validation_D,failure,steady,556,2.10196569754923,1.059280514717102,0.8443917859797159,0.14139413870130257,0.14335094424460432,3.0,0.0,1.0,0.0
base-seed3,validation_D,failure,high_risk,235,2.06172000803846,1.059280514717102,0.8344362742947099,0.15077133438244908,0.15033244680851063,3.0,0.0,1.0,0.0
base-seed3,validation_D,failure,static_near,51,2.0115685626572253,1.059280514717102,0.8227413399360592,0.16178935492863003,0.16574754901960784,3.0,0.0,1.0,0.0
base-seed3,common_encounters,all,steady,6786,2.0520207245652737,1.059280514717102,0.835555649643757,0.14957563939868473,0.14863551797819038,3.0,0.0,1.0,0.0
base-seed3,common_encounters,all,high_risk,467,2.0607022664786916,1.059280514717102,0.8376641403533097,0.1475754403116959,0.14768468950749464,3.0,0.0,1.0,0.0
base-seed3,common_encounters,all,static_near,230,2.0163293294284657,1.059280514717102,0.8289541633455639,0.1556716842661702,0.1576766304347826,3.0,0.0,1.0,0.0
base-seed3,common_encounters,success,steady,6108,2.0448499925400436,1.059280514717102,0.833982689667462,0.1510501016289966,0.15003376719056974,3.0,0.0,1.0,0.0
base-seed3,common_encounters,success,high_risk,163,1.9353393850151015,1.059280514717102,0.8099692484531767,0.1735144713556118,0.17398389570552147,3.0,0.0,1.0,0.0
base-seed3,common_encounters,success,static_near,150,1.989796862602234,1.059280514717102,0.8233887439534168,0.16086606417172378,0.16177083333333334,3.0,0.0,1.0,0.0
base-seed3,common_encounters,failure,steady,678,2.11662077059788,1.059280514717102,0.8497262094302008,0.13629243098755683,0.136038901179941,3.0,0.0,1.0,0.0
base-seed3,common_encounters,failure,high_risk,304,2.127919864105551,1.059280514717102,0.8525137041023944,0.13366734142959627,0.13358347039473684,3.0,0.0,1.0,0.0
base-seed3,common_encounters,failure,static_near,80,2.0660777047276495,1.059280514717102,0.8393893247058403,0.14593222194325733,0.15,3.0,0.0,1.0,0.0
