method,phase,outcome,n,speed_upper_clip_fraction,brake_fraction,high_risk_steps,high_risk_brake_fraction
predictive-seed2,late,failure,10006,0.6959824105536678,0.24875074955026985,4069,0.23199803391496682
predictive-seed3,early,all,46590,0.29989268083279674,0.44653359089933464,5691,0.4020383060973467
predictive-seed3,early,success,23283,0.3161963664476227,0.4458617875703303,770,0.38051948051948054
predictive-seed3,early,failure,23307,0.283605783670142,0.44720470244990773,4921,0.40540540540540543
predictive-seed3,middle,all,91680,0.7024978184991274,0.23534031413612566,9536,0.21203859060402686
predictive-seed3,middle,success,73894,0.7032100035185536,0.23460632798332748,3019,0.19807883405101026
predictive-seed3,middle,failure,17786,0.6995389632295064,0.23838974474305633,6517,0.21850544729169863
predictive-seed3,late,all,46684,0.9398937537486076,0.05190215062976609,3931,0.041465276011193083
predictive-seed3,late,success,38949,0.9384579835169067,0.05322344604482785,1646,0.04495747266099635
predictive-seed3,late,failure,7657,0.9469766226981847,0.04531800966435941,2285,0.03894967177242888
