scenario_id,scenario_type,variant,success,termination_reason,collision_type,episode_reward,steps,path_length,path_efficiency,mean_signed_route_offset,route_side,initial_linear_action,initial_angular_action,min_dynamic_center_distance,min_dynamic_clearance,risk_level,first_turn_time,first_slowdown_time,intervention_geometry_issue,matched_time_path_rms_difference,matched_time_action_rms_difference
2,head_on,mirror_y,True,success,none,991.2853036916958,139,80.69999999999999,0.9869263082024925,-1.2026004938910664,below,1.0,-0.20671504735946655,22.28242719830015,18.28242719830015,receding,0.0,,none,4.434209398152079,0.07163110375404358
2,head_on,reverse_dynamic,True,success,none,992.8470074881935,139,80.69999999999995,0.9869263082024929,-3.8093578544816715,below,1.0,-0.3901161849498749,21.96941786750642,17.96941786750642,receding,0.0,,target_static_sweep,0.5404265784218806,0.004507729317992926
2,head_on,slow_dynamic,True,success,none,994.4474071681043,139,80.70000000000002,0.9869263082024922,-3.280372319707979,below,1.0,-0.41460415720939636,22.28242719830015,18.28242719830015,receding,0.0,,none,0.058565667544545286,0.0007182767149060965
3,crossing_left,baseline,True,success,none,969.0625725610403,138,80.09999999999995,0.9682015422245521,-6.987077396474391,below,1.0,-0.668323278427124,10.77659271073365,6.7765927107336505,conflict,0.0,,none,0.0,0.0
3,crossing_left,freeze_dynamic,True,success,none,969.429561535391,139,80.70000000000003,0.9610030177470452,-7.721049279578217,below,1.0,-0.682239830493927,19.369357710635487,15.369357710635487,conflict,0.0,,none,0.8625292320005501,0.009977482259273529
3,crossing_left,mirror_y,True,success,none,970.0741582769299,140,81.30000000000005,0.9539107445533398,-7.277799567549516,below,1.0,-0.45022404193878174,8.220119331290183,4.220119331290183,conflict,0.0,,none,12.729210035630656,0.14176489412784576
3,crossing_left,reverse_dynamic,True,success,none,971.3393585692371,141,81.89999999999993,0.9469223874503863,-8.27611711691451,below,1.0,-0.6952396035194397,28.728827406484562,24.728827406484562,conflict,0.0,,none,1.6222702819109531,0.01710781827569008
3,crossing_left,slow_dynamic,True,success,none,972.6465383798622,139,80.70000000000003,0.9610030177470452,-7.355277811387334,below,1.0,-0.6753817796707153,14.826794900075928,10.826794900075928,conflict,0.0,,none,0.4146055313682339,0.005424469709396362
4,crossing_left,baseline,True,success,none,958.6445839569163,136,78.89999999999989,0.9650171218253576,-6.735259831388963,below,1.0,-0.6039187908172607,29.096442925558655,25.096442925558655,time_separated,0.0,,none,0.0,0.0
4,crossing_left,freeze_dynamic,True,success,none,958.5364378131386,137,79.49999999999994,0.9577339737361089,-6.991450075044694,below,1.0,-0.6251784563064575,45.498625902845724,41.498625902845724,time_separated,0.0,,none,0.44031090950840024,0.008397316560149193
