scenario_id,scenario_type,difficulty,risk_level,layout_type,success,termination_reason,collision_type,episode_reward,steps,navigation_time,path_length,direct_start_goal_distance,final_goal_distance,min_static_center_distance,min_static_clearance,min_dynamic_center_distance,min_dynamic_clearance,closest_dynamic_step,closest_dynamic_time,path_efficiency,mean_inference_ms,p95_inference_ms,total_heading_variation,full_speed_fraction
86,crossing_left,standard,receding,blocking,True,success,none,919.9540242433934,136,27.200000000000003,78.90000000000002,72.52469825487023,2.849295830530799,9.446420894096319,4.446420894096319,21.99268788026777,17.99268788026777,0,0.0,0.9191976965129305,0.12237426455933875,0.1914249914989341,1.810603595057269,0.927007299270073
87,crossing_left,standard,conflict,clear,True,success,none,969.0104455360492,139,27.8,80.69999999999995,77.18674570457672,2.590701150971767,10.597875195823093,5.597875195823093,11.942765188060372,7.942765188060372,53,10.600000000000001,0.9564652503665028,0.12817482052374257,0.19294998928671686,1.2759462743766559,0.9285714285714286
88,crossing_left,standard,conflict,two_sides,False,static_collision_2,static_collision_2,363.29612518864093,93,18.6,53.09999999999998,81.55176724003844,35.68545182182547,4.848496510610494,-0.15150348938950575,15.01766778398089,11.01766778398089,69,13.8,,0.13714085939535572,0.22703999711666226,1.0077930914265298,0.8936170212765957
89,crossing_left,standard,receding,two_sides,False,static_collision_2,static_collision_2,352.27750261914844,94,18.8,53.7,76.56771889893946,31.795078077242128,4.872766445426303,-0.12723355457369667,27.88942789175526,23.88942789175526,0,0.0,,0.13093723379263772,0.1911500032292678,1.2448995115534514,0.8947368421052632
90,crossing_left,standard,time_separated,clear,True,success,none,957.444514563429,139,27.8,80.7,76.12304945550807,2.5201521287556576,5.649726369157369,0.6497263691573689,28.18777496033585,24.18777496033585,107,21.400000000000002,0.9432843798699884,0.12245251708781253,0.16591000603511924,1.3532496052479324,0.9285714285714286
91,crossing_left,standard,conflict,clear,False,static_collision_1,static_collision_1,141.9406348450105,54,10.8,29.699999999999992,76.78700290067852,53.22395930447854,4.912579271931314,-0.08742072806868606,24.666794779844516,20.666794779844516,54,10.8,,0.12047592624892584,0.13832000040565615,0.6444927856282548,0.8181818181818182
92,crossing_left,standard,conflict,two_sides,False,static_collision_2,static_collision_2,343.2116117346269,89,17.8,50.699999999999974,76.38862621643807,32.545274348900335,4.7538114393085165,-0.24618856069148354,16.139851763867416,12.139851763867416,79,15.8,,0.13057528056460693,0.21205999655649066,0.9593411391209208,0.8888888888888888
93,crossing_left,standard,time_separated,blocking,False,dynamic_collision,dynamic_collision,153.72635990896396,67,13.4,37.50000000000002,73.97251029338445,45.79795094184041,12.531212400753065,7.5312124007530645,3.724861595097654,-0.275138404902346,67,13.4,,0.12990447723848828,0.20342000789241851,0.9264000631775711,0.8529411764705882
94,crossing_left,standard,time_separated,blocking,True,success,none,959.7288904900487,137,27.400000000000002,79.50000000000003,76.3723200617233,2.714431012718414,8.781938161634635,3.781938161634635,25.46686055099457,21.46686055099457,60,12.0,0.9606581139839405,0.13203357644192193,0.2033199940342455,1.173212165822384,0.927536231884058
95,crossing_left,standard,conflict,two_sides,False,static_collision_2,static_collision_2,348.7080416273189,90,18.0,51.29999999999998,79.26830661900513,34.86159665860989,4.60336329595723,-0.39663670404276985,17.45878443367196,13.458784433671958,87,17.400000000000002,,0.12118222318046416,0.14841500160400756,0.9054188336850317,0.8901098901098901
