split,method,best_timesteps,total_scenarios,success_count,success_rate,collision_count,collision_rate,static_collision_count,static_collision_rate,dynamic_collision_count,dynamic_collision_rate,out_of_bounds_count,out_of_bounds_rate,timeout_count,timeout_rate,average_reward,average_steps,average_navigation_time,average_path_length,successful_average_path_length,successful_average_path_efficiency,average_final_goal_distance,average_min_static_clearance,average_min_dynamic_clearance,mean_inference_ms,p95_inference_ms,worst_static_clearance,worst_dynamic_clearance,dataset_hash,dataset_split,observation_stage,environment_stage,timing_note
challenge,C-seed1,180000.0,120,77,0.6416666666666667,43,0.35833333333333334,24,0.2,19,0.15833333333333333,0,0.0,0,0.0,682.3813218873297,111.03333333333333,22.206666666666667,63.92000000000001,81.66623376623379,0.955721871282004,20.352390316703485,6.418130850454299,9.44747083840504,0.12330933658246981,0.17178499838337288,-0.33276141699108397,-0.5699362658046128,c629eb6f77f67897859d58870ffb8b1aa207a601fe0d39a99388efd43a439d8d,test,C,D,CPU sequential per-policy evaluation; wall-clock timing is hardware/load dependent
challenge,C-seed2,200000.0,120,82,0.6833333333333333,38,0.31666666666666665,20,0.16666666666666666,18,0.15,0,0.0,0,0.0,717.5895858840328,114.80833333333334,22.961666666666666,66.185,81.75365853658536,0.9531963487431462,18.18551610139711,6.706021202611334,9.037459517325718,0.12649116642292213,0.18561999895609904,-0.5510846436955115,-0.5767282000386791,c629eb6f77f67897859d58870ffb8b1aa207a601fe0d39a99388efd43a439d8d,test,C,D,CPU sequential per-policy evaluation; wall-clock timing is hardware/load dependent
challenge,C-seed3,140000.0,120,75,0.625,45,0.375,25,0.20833333333333334,20,0.16666666666666666,0,0.0,0,0.0,622.0742668194408,101.50833333333334,20.30166666666667,58.205000000000005,81.73200000000001,0.9558742036309765,25.89425452063164,6.058498793594939,10.644057574350287,0.12527309746421114,0.18010000349022448,-0.5228413776856096,-0.500617577712799,c629eb6f77f67897859d58870ffb8b1aa207a601fe0d39a99388efd43a439d8d,test,C,D,CPU sequential per-policy evaluation; wall-clock timing is hardware/load dependent
challenge,D-seed1,90000.0,120,77,0.6416666666666667,43,0.35833333333333334,24,0.2,19,0.15833333333333333,0,0.0,0,0.0,679.9541981403407,108.8,21.76,62.58000000000001,80.9883116883117,0.9685050328138621,20.609072577758873,6.346344812842853,8.855942331392379,0.12689496787743337,0.18099999579135329,-0.37898187547620843,-0.5319105264963708,c629eb6f77f67897859d58870ffb8b1aa207a601fe0d39a99388efd43a439d8d,test,D,D,CPU sequential per-policy evaluation; wall-clock timing is hardware/load dependent
challenge,D-seed2,80000.0,120,61,0.5083333333333333,59,0.49166666666666664,40,0.3333333333333333,19,0.15833333333333333,0,0.0,0,0.0,538.5421003107966,91.025,18.205000000000002,51.865855764001616,80.01315888000317,0.9748006093572852,30.52136127666848,5.493388924186518,10.716161096842832,0.1262390734435256,0.1765000051818788,-0.5483438899818474,-0.49339267762620187,c629eb6f77f67897859d58870ffb8b1aa207a601fe0d39a99388efd43a439d8d,test,D,D,CPU sequential per-policy evaluation; wall-clock timing is hardware/load dependent
challenge,D-seed3,150000.0,120,77,0.6416666666666667,43,0.35833333333333334,24,0.2,19,0.15833333333333333,0,0.0,0,0.0,657.1481914721879,104.18333333333334,20.836666666666666,59.81000000000001,80.27142857142857,0.9741889988324267,22.87470885242104,6.191378267554973,9.863782003647621,0.12713609837890869,0.18428999246680156,-0.4841580050774743,-0.5677057037935485,c629eb6f77f67897859d58870ffb8b1aa207a601fe0d39a99388efd43a439d8d,test,D,D,CPU sequential per-policy evaluation; wall-clock timing is hardware/load dependent
challenge,A-seed1,200704.0,120,62,0.5166666666666667,58,0.48333333333333334,33,0.275,25,0.20833333333333334,0,0.0,0,0.0,587.3506876173637,104.4,20.88,59.94000000000001,82.82903225806453,0.9397822165557163,25.719106302156263,7.15165890253662,9.352301896652602,0.1247407487297312,0.18089999502990395,-0.5330452855722374,-0.5230092464079368,c629eb6f77f67897859d58870ffb8b1aa207a601fe0d39a99388efd43a439d8d,test,A,D,CPU sequential per-policy evaluation; wall-clock timing is hardware/load dependent
challenge,B-seed1,120000.0,120,68,0.5666666666666667,52,0.43333333333333335,26,0.21666666666666667,26,0.21666666666666667,0,0.0,0,0.0,608.748972305207,104.3,20.860000000000003,59.879999999999995,82.26176470588234,0.9477457244024194,25.16428071105901,7.211866355612918,9.193328596834949,0.1262523250242254,0.17832500452641398,-0.5661351114023194,-0.5115471033890655,c629eb6f77f67897859d58870ffb8b1aa207a601fe0d39a99388efd43a439d8d,test,B,D,CPU sequential per-policy evaluation; wall-clock timing is hardware/load dependent
challenge,round0-seed1,170000.0,120,69,0.575,51,0.425,33,0.275,18,0.15,0,0.0,0,0.0,620.523867230674,102.31666666666666,20.463333333333335,58.69000000000001,80.88260869565218,0.9666712312488713,24.46600961368978,6.077483613584212,10.04834775666488,0.12393099044671003,0.1745999928971287,-0.5313805021171776,-0.5341386324449973,c629eb6f77f67897859d58870ffb8b1aa207a601fe0d39a99388efd43a439d8d,test,legacy,D,CPU sequential per-policy evaluation; wall-clock timing is hardware/load dependent
challenge,DWA,,120,120,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,972.5935480943425,143.44166666666666,28.688333333333333,79.22766650219977,79.22766650219977,0.9875282974133726,2.9121541591211497,5.370953501264032,8.186753664779436,0.5982271713292171,0.7045399950584397,0.5001137685425014,0.726551388931223,c629eb6f77f67897859d58870ffb8b1aa207a601fe0d39a99388efd43a439d8d,test,D,D,CPU sequential per-policy evaluation; wall-clock timing is hardware/load dependent
