scenario_index,scenario_id,scenario_type,success,reason,collision,steps,path_length,navigation_time,path_efficiency,min_static_clearance,min_dynamic_clearance,base_return,full_speed_fraction_after_2s,near_upper_action_fraction_after_2s,high_risk_mean_speed,high_risk_braking_fraction,risk_onset_step,braking_delay_seconds,risk_no_braking_response,response_status,timeout_with_stagnation
39,39,head_on,True,success,False,136,78.89999999999993,27.200000000000003,0.9667404588307303,8.094922475776992,4.695914129969463,956.3737078914488,1.0,1.0,,,,,False,no_risk,False
40,40,head_on,True,success,False,143,83.10000000000004,28.6,0.9543143701679097,1.67540581149927,8.007963748710639,987.2682087146698,1.0,1.0,,,,,False,no_risk,False
41,41,head_on,True,success,False,143,83.10000000000001,28.6,0.951881043048963,5.848512879174708,22.20841705271433,984.824422289093,1.0,1.0,,,,,False,no_risk,False
42,42,head_on,True,success,False,136,78.89999999999998,27.200000000000003,0.9608225023603973,20.53331866525986,5.300248189075296,951.3790711465768,1.0,1.0,,,,,False,no_risk,False
43,43,head_on,False,static_collision_2,True,105,60.3,21.0,,-0.04872637333204999,5.053196367336355,446.8077753490786,1.0,1.0,3.0,0.0,84.0,,True,terminal_censored,False
44,44,head_on,False,static_collision_2,True,92,52.49999999999998,18.400000000000002,,-0.2550056406556811,18.311146917008617,390.4379143357468,1.0,1.0,3.0,0.0,71.0,,True,terminal_censored,False
45,45,head_on,False,static_collision_2,True,100,57.30000000000004,20.0,,-0.23521656325845974,5.910790413575688,401.2477398700704,1.0,1.0,3.0,0.0,80.0,,True,terminal_censored,False
46,46,head_on,False,static_collision_2,True,104,59.70000000000002,20.8,,-0.2328312910191883,5.246780820609176,440.7775971357008,1.0,1.0,3.0,0.0,83.0,,True,terminal_censored,False
47,47,head_on,False,static_collision_2,True,107,61.500000000000014,21.400000000000002,,-0.5761850341628723,5.4523880140374725,458.19660788897534,1.0,1.0,3.0,0.0,30.0,,True,terminal_censored,False
48,48,head_on,True,success,False,141,81.9000000000001,28.200000000000003,0.9422960386760716,1.4018923768025715,6.89427408986441,969.0179070441716,1.0,1.0,,,,,False,no_risk,False
49,49,head_on,True,success,False,141,81.89999999999999,28.200000000000003,0.9426511274929408,19.20452878341154,7.849419612530539,968.5915582958172,1.0,1.0,,,,,False,no_risk,False
50,50,head_on,False,static_collision_2,True,102,58.49999999999999,20.400000000000002,,-0.2803168678848529,5.002750594454605,430.2988045470112,1.0,1.0,3.0,0.0,81.0,,True,terminal_censored,False
51,51,head_on,False,static_collision_2,True,95,54.30000000000002,19.0,,-0.041964750824573294,6.998277104982645,382.5373937766992,1.0,1.0,3.0,0.0,73.0,,True,terminal_censored,False
52,52,head_on,False,static_collision_2,True,88,50.09999999999999,17.6,,-0.17939745370918292,22.91770085214663,371.4352499683975,1.0,1.0,3.0,0.0,68.0,,True,terminal_censored,False
53,53,head_on,True,success,False,142,82.50000000000001,28.400000000000002,0.9625977795746976,1.4390320716084917,24.85865415644502,988.7983956487046,1.0,1.0,3.0,0.0,29.0,,True,terminal_censored,False
54,54,head_on,True,success,False,132,76.50000000000011,26.400000000000002,0.9620387440705378,1.8553514068704242,22.554556291163937,931.3270965077204,1.0,1.0,,,,,False,no_risk,False
55,55,head_on,False,static_collision_2,True,88,50.10000000000001,17.6,,-0.044931816292266724,18.604162915977437,371.0622830813295,1.0,1.0,3.0,0.0,68.0,,True,terminal_censored,False
56,56,head_on,True,success,False,144,83.70000000000005,28.8,0.9414590459217784,0.08559559833604169,7.962937817822219,983.1466241058342,1.0,1.0,3.0,0.0,33.0,,True,terminal_censored,False
57,57,head_on,True,success,False,141,81.89999999999996,28.200000000000003,0.9502176404939763,2.4428406169324637,6.880133955493969,973.2505002119168,1.0,1.0,,,,,False,no_risk,False
58,58,head_on,True,success,False,138,80.09999999999997,27.6,0.9828893638503639,20.18842830667402,20.352289642300285,985.2318087361081,1.0,1.0,,,,,False,no_risk,False
59,59,head_on,True,success,False,134,77.70000000000005,26.8,0.9830614467100272,13.584338447147548,24.34095848548406,961.2027757469656,1.0,1.0,,,,,False,no_risk,False
60,60,crossing_left,True,success,False,141,81.90000000000006,28.200000000000003,0.979238148025418,2.025155451887999,24.94597503504569,1000.438693382838,1.0,1.0,,,,,False,no_risk,False
61,61,crossing_left,True,success,False,140,81.30000000000005,28.0,0.9676532094110725,1.008828809221768,25.971383264243773,980.0410403016895,1.0,1.0,,,,,False,no_risk,False
62,62,crossing_left,True,success,False,141,81.90000000000006,28.200000000000003,0.9649705363877216,3.2435803334452817,10.844579184554902,987.1593325509097,1.0,1.0,,,,,False,no_risk,False
63,63,crossing_left,True,success,False,140,81.30000000000005,28.0,0.9570707548437367,4.330010560535207,10.542341680218593,977.0401528118067,1.0,1.0,,,,,False,no_risk,False
