n,success_count,success_rate,mean_base_reward,mean_training_reward,mean_risk_penalty,mean_min_static_clearance,mean_min_dynamic_clearance,worst_static_clearance,worst_dynamic_clearance,successful_path_efficiency,successful_navigation_time,full_speed_fraction_after_2s,clipped_mean_fraction,high_risk_mean_speed_episode_average,risk_exposed_episodes,risk_no_response_episodes,risk_no_response_fraction_exposed,braking_delay_responders_only,static_collision_count,static_collision_rate,dynamic_collision_count,dynamic_collision_rate,timeout_count,timeout_rate,out_of_bounds_count,out_of_bounds_rate,collision_count,collision_rate,dataset_hash,method,split,model_sha256,trajectory_audit
120,70,0.5833333333333334,626.1566552712097,626.1566552712097,0.0,5.955586703694896,9.833048218476454,-0.5212055202437602,-0.5817968863228673,0.9702926245530559,27.51428571428572,1.0,1.0,2.9389465840541353,66,66,1.0,,29,0.24166666666666667,21,0.175,0,0.0,0,0.0,50,0.4166666666666667,9264cb1e89cbedf0412173c13d35bff12112ce5cc0b7d9134d88c8ef9afb9134,base-seed1,challenge,eed14e8a8b4049f3e6f061e6689f890b45e3b92007fd70de498e1030028fb343,passed
120,62,0.5166666666666667,566.2739712379781,566.2739712379781,0.0,4.667872014763519,8.746934501327786,-0.5755536230749119,-0.359453074147734,0.9744224673876049,27.383870967741935,0.9928490887635296,0.9913422632247116,2.9632410428906275,76,76,1.0,,43,0.35833333333333334,15,0.125,0,0.0,0,0.0,58,0.48333333333333334,9264cb1e89cbedf0412173c13d35bff12112ce5cc0b7d9134d88c8ef9afb9134,base-seed2,challenge,e6eb712bb93c030a7b2497044c5f97d3677b2abe41f131b3df95a024c9dd86e0,passed
120,77,0.6416666666666667,665.8599494534818,665.8599494534818,0.0,5.317516731632154,8.13173502116621,-0.4923613524172943,-0.5442033981256507,0.9724601723269336,27.462337662337667,1.0,1.0,2.9460100297483174,59,59,1.0,,27,0.225,16,0.13333333333333333,0,0.0,0,0.0,43,0.35833333333333334,9264cb1e89cbedf0412173c13d35bff12112ce5cc0b7d9134d88c8ef9afb9134,base-seed3,challenge,d3012baac75ccf9d4678f9606f22a66a1a492c3d778573d6ce3a40e330c395b1,passed
120,80,0.6666666666666666,667.4789256199025,664.6962265807142,-2.782699039188358,6.842092722366285,9.810068202444453,-0.5058702503957333,-0.5246762793840083,0.9600107719628447,27.77,1.0,1.0,2.9206473082193867,56,56,1.0,,18,0.15,22,0.18333333333333332,0,0.0,0,0.0,40,0.3333333333333333,9264cb1e89cbedf0412173c13d35bff12112ce5cc0b7d9134d88c8ef9afb9134,instant-seed1,challenge,a7a84f53f79ad93ab4833555f500962eba6687d2a023c0c58a54e6ad26ef3773,passed
120,68,0.5666666666666667,584.0596506961443,580.569730356293,-3.489920339851357,5.989865083247846,10.141421191604048,-0.5562409048056214,-0.5154119127600385,0.9744942201624106,27.347058823529412,1.0,1.0,2.9377529881109608,66,66,1.0,,31,0.25833333333333336,21,0.175,0,0.0,0,0.0,52,0.43333333333333335,9264cb1e89cbedf0412173c13d35bff12112ce5cc0b7d9134d88c8ef9afb9134,instant-seed2,challenge,8fd8252c95466b4b1de1d467313670b725aaf48a8b305ae4980bc4db275c7042,passed
120,82,0.6833333333333333,696.0159696187596,692.1629072142103,-3.853062404549136,5.530109838872202,8.383592500172886,-0.5498782914287226,-0.5928468981644084,0.9610063406349676,27.78048780487805,1.0,1.0,2.9408535890177876,58,58,1.0,,21,0.175,17,0.14166666666666666,0,0.0,0,0.0,38,0.31666666666666665,9264cb1e89cbedf0412173c13d35bff12112ce5cc0b7d9134d88c8ef9afb9134,instant-seed3,challenge,7e01f9d9d3e4e94731f1e32ea429c38e1804be0903ec0a517cd51220fe9e97d7,passed
120,67,0.5583333333333333,578.7357606479225,558.0814613713992,-20.65429927652323,5.840485643789316,9.712612110932515,-0.4670225552861105,-0.5610098393055902,0.9768867757875428,27.340298507462688,1.0,1.0,2.9303095827127756,67,67,1.0,,32,0.26666666666666666,21,0.175,0,0.0,0,0.0,53,0.44166666666666665,9264cb1e89cbedf0412173c13d35bff12112ce5cc0b7d9134d88c8ef9afb9134,predictive-seed1,challenge,4c0fcd56494770cf03816125b8e8e8a477172aefdd66054b029e93d4ed7d30e6,passed
120,61,0.5083333333333333,553.9453794855687,526.7968046978709,-27.148574787697694,5.459475525820476,8.082048459411032,-0.5640452745082065,-0.5183856913810745,0.9681231197226482,27.6327868852459,1.0,1.0,2.966054050231021,78,78,1.0,,39,0.325,20,0.16666666666666666,0,0.0,0,0.0,59,0.49166666666666664,9264cb1e89cbedf0412173c13d35bff12112ce5cc0b7d9134d88c8ef9afb9134,predictive-seed2,challenge,cc62a783b125e16efa0c1bcb4010d3471b881d0e9ee32e98d2fa25831a30750b,passed
120,84,0.7,694.4864848673568,675.2174989069887,-19.268985960368166,6.202175334039692,10.11332949349751,-0.32212864745372816,-0.6306476870886915,0.9579220017397884,27.859523809523807,1.0,1.0,2.924338397791238,61,61,1.0,,15,0.125,21,0.175,0,0.0,0,0.0,36,0.3,9264cb1e89cbedf0412173c13d35bff12112ce5cc0b7d9134d88c8ef9afb9134,predictive-seed3,challenge,46b47e4970ae9eb2d7c8f9c09344cb0e284c763e14d11176e57a2432219640f5,passed
120,118,0.9833333333333333,950.2307565522683,950.2307565522683,0.0,4.806766081941564,8.113674232718909,0.5002670942763778,0.7672451529547715,0.9867962901816175,28.510169491525428,0.8592178146104618,,2.8805792367826024,63,2,0.031746031746031744,20.478688524590165,0,0.0,0,0.0,2,0.016666666666666666,0,0.0,0,0.0,9264cb1e89cbedf0412173c13d35bff12112ce5cc0b7d9134d88c8ef9afb9134,DWA,challenge,,passed
