split,method,type,n,success_count,success_rate,success_wilson_95,mean_base_reward,mean_training_reward,mean_risk_penalty,mean_min_static_clearance,mean_min_dynamic_clearance,worst_static_clearance,worst_dynamic_clearance,successful_path_efficiency,successful_navigation_time,full_speed_fraction_after_2s,clipped_mean_fraction,high_risk_mean_speed_episode_average,risk_exposed_episodes,risk_no_response_episodes,risk_no_response_fraction_exposed,braking_delay_responders_only,static_collision_count,static_collision_rate,dynamic_collision_count,dynamic_collision_rate,timeout_count,timeout_rate,out_of_bounds_count,out_of_bounds_rate,collision_count,collision_rate
same_distribution,base-seed3,head_on,60,56,0.9333333333333333,"[0.8407464268680283, 0.9737713012754938]",936.4470981119869,936.4470981119869,0.0,4.842035571855517,9.489801425842693,-0.2068158780007642,-0.3181370882352792,0.9694000088085784,27.817857142857147,1.0,1.0,3.0,20,20,1.0,,3,0.05,1,0.016666666666666666,0,0.0,0,0.0,4,0.06666666666666667
same_distribution,base-seed3,overtaking,60,41,0.6833333333333333,"[0.5576623297382323, 0.7869413244763347]",656.8380705655919,656.8380705655919,0.0,4.875012740823477,10.328832820279382,-0.4371497053698547,-0.0923575987961959,0.9702551876279029,27.663414634146342,1.0,1.0,2.8736082242613645,35,35,1.0,,18,0.3,1,0.016666666666666666,0,0.0,0,0.0,19,0.31666666666666665
same_distribution,instant-seed1,crossing_left,60,54,0.9,"[0.7985053527602123, 0.9533571655261158]",886.2329560754721,884.8002610507298,-1.4326950247423054,5.39776159974698,12.0727070552974,-0.3525012871259712,-0.2573150680750538,0.9534993908951115,27.951851851851856,1.0,1.0,3.0,11,11,1.0,,2,0.03333333333333333,4,0.06666666666666667,0,0.0,0,0.0,6,0.1
same_distribution,instant-seed1,crossing_right,60,47,0.7833333333333333,"[0.6637997242680521, 0.868769559518097]",800.958397656504,798.9335032695421,-2.024894386961663,8.844689563672537,7.800615581521856,-0.1692752038875182,-0.5105048219983197,0.9394683682353155,28.485106382978717,1.0,1.0,3.0,19,19,1.0,,2,0.03333333333333333,11,0.18333333333333332,0,0.0,0,0.0,13,0.21666666666666667
same_distribution,instant-seed1,head_on,60,38,0.6333333333333333,"[0.5068300063010303, 0.7437908331277456]",730.5629799433206,728.4263996111129,-2.1365803322076595,5.150118847709094,11.129662232204657,-0.4788374442320027,-0.6243899159316824,0.9477509391016469,28.331578947368417,1.0,1.0,3.0,26,26,1.0,,19,0.31666666666666665,3,0.05,0,0.0,0,0.0,22,0.36666666666666664
same_distribution,instant-seed1,overtaking,60,51,0.85,"[0.7388541093022145, 0.9190255941983225]",823.3426330498467,818.914178129871,-4.428454919975834,6.584026882154081,8.748351446026497,-0.459321923759127,-0.1463576344625878,0.9570927698497829,28.035294117647066,1.0,1.0,2.837600200779613,25,25,1.0,,8,0.13333333333333333,1,0.016666666666666666,0,0.0,0,0.0,9,0.15
same_distribution,instant-seed2,crossing_left,60,46,0.7666666666666667,"[0.6456372962239805, 0.8556043826335717]",781.9965606549282,779.3401975673089,-2.6563630876193542,3.4667816191567917,12.105974323380227,-0.3365059753535808,-0.2648434238381165,0.9685880840538641,27.61304347826087,1.0,1.0,3.0,21,21,1.0,,11,0.18333333333333332,3,0.05,0,0.0,0,0.0,14,0.23333333333333334
same_distribution,instant-seed2,crossing_right,60,44,0.7333333333333333,"[0.6099128690331636, 0.8286735999671945]",761.4548396900744,757.7322727113128,-3.722566978761692,7.067116744497497,7.322323896505731,-0.1112489606873907,-0.5221085456895236,0.9612798615067427,27.831818181818186,1.0,1.0,3.0,25,25,1.0,,2,0.03333333333333333,14,0.23333333333333334,0,0.0,0,0.0,16,0.26666666666666666
same_distribution,instant-seed2,head_on,60,47,0.7833333333333333,"[0.6637997242680521, 0.868769559518097]",849.5473225889504,847.3471509678506,-2.2001716210997353,4.855257772355345,10.585461127866843,-0.4567953215977809,-0.5976726309189866,0.9606053686000539,27.944680851063826,1.0,1.0,3.0,19,19,1.0,,11,0.18333333333333332,2,0.03333333333333333,0,0.0,0,0.0,13,0.21666666666666667
same_distribution,instant-seed2,overtaking,60,47,0.7833333333333333,"[0.6637997242680521, 0.868769559518097]",762.4736367812518,758.0182040669478,-4.4554327143040675,5.620648921133975,10.077385686592216,-0.4047127390329672,0.4445337674638612,0.9729150136452706,27.59574468085106,1.0,1.0,2.8609584425473167,27,27,1.0,,13,0.21666666666666667,0,0.0,0,0.0,0,0.0,13,0.21666666666666667
same_distribution,instant-seed3,crossing_left,60,37,0.6166666666666667,"[0.49017595824099924, 0.7291172762591798]",693.4687622503352,688.289277867427,-5.179484382908212,2.865833024288378,7.729946707216259,-0.2327728474461166,-0.6177408107111875,0.9438651492225892,28.178378378378376,1.0,1.0,3.0,40,40,1.0,,13,0.21666666666666667,10,0.16666666666666666,0,0.0,0,0.0,23,0.38333333333333336
same_distribution,instant-seed3,crossing_right,60,53,0.8833333333333333,"[0.7782121197582914, 0.9423227935994396]",881.6522715188437,879.9357782713381,-1.7164932475057546,5.614045403040643,12.984308042707605,-0.2042545024852611,-0.4451974194602464,0.9656241675541336,27.664150943396226,1.0,1.0,3.0,15,15,1.0,,4,0.06666666666666667,3,0.05,0,0.0,0,0.0,7,0.11666666666666667
same_distribution,instant-seed3,head_on,60,53,0.8833333333333333,"[0.7782121197582914, 0.9423227935994396]",905.8142921790352,903.7069655399495,-2.10732663908595,5.339336150887898,9.95530679479717,-0.3552734501733781,-0.245992169757256,0.9618801106563606,28.026415094339626,1.0,1.0,3.0,14,14,1.0,,5,0.08333333333333333,2,0.03333333333333333,0,0.0,0,0.0,7,0.11666666666666667
same_distribution,instant-seed3,overtaking,60,43,0.7166666666666667,"[0.5923271483560882, 0.8149317157156729]",705.1032032476999,699.5238786957964,-5.579324551903396,4.64026833422822,10.48615375664451,-0.4661060456334027,-0.1464582970053904,0.9615765263666841,27.925581395348843,1.0,1.0,2.8814943121282344,33,33,1.0,,16,0.26666666666666666,1,0.016666666666666666,0,0.0,0,0.0,17,0.2833333333333333
same_distribution,predictive-seed1,crossing_left,60,52,0.8666666666666667,"[0.7583484032350039, 0.9308589051941303]",861.749195639475,847.6829336286718,-14.06626201080331,3.3723136272715664,11.429435876705394,-0.2985521467872329,-0.1414148137259032,0.977145934373864,27.353846153846156,1.0,1.0,3.0,18,18,1.0,,5,0.08333333333333333,3,0.05,0,0.0,0,0.0,8,0.13333333333333333
same_distribution,predictive-seed1,crossing_right,60,45,0.75,"[0.6276792992295218, 0.8422347746994333]",776.1473788285488,758.4470717559,-17.700307072648595,7.512511019504038,6.99003334865885,-0.3755526375669085,-0.3790130343968636,0.9595362386797736,27.893333333333334,1.0,1.0,3.0,23,23,1.0,,3,0.05,12,0.2,0,0.0,0,0.0,15,0.25
same_distribution,predictive-seed1,head_on,60,42,0.7,"[0.5749129205308552, 0.8010183386123089]",803.8694061997194,785.5908729673023,-18.278533232417242,4.70597346011562,9.886611902553438,-0.4778944892223276,-0.3165453820768138,0.9651626632925976,27.833333333333332,1.0,1.0,3.0,24,24,1.0,,16,0.26666666666666666,2,0.03333333333333333,0,0.0,0,0.0,18,0.3
