scenario_id,scenario_type,difficulty,success,termination_reason,collision_type,episode_reward,steps,navigation_time,path_length,final_goal_distance,min_static_center_distance,min_static_clearance,min_dynamic_center_distance,min_dynamic_clearance,closest_dynamic_step,closest_dynamic_time
10,crossing_up,easy,False,dynamic_collision,dynamic_collision,63.19706129542044,49,9.8,26.700000000000024,52.803621824840384,20.237883401530915,15.070767077290796,4.490399773327159,-0.11479116131465794,49,9.8
11,crossing_up,easy,False,dynamic_collision,dynamic_collision,175.39918476821646,66,13.200000000000001,36.900000000000006,50.61134794354153,25.368958608108727,20.110850657928562,4.427551123592151,-0.30711144874421725,66,13.200000000000001
12,crossing_up,medium,True,success,none,1028.2818945437527,158,31.6,92.10000000000002,2.486623661536997,23.324296779205596,17.62326051757475,10.676697167508152,6.268587203777981,73,14.600000000000001
13,crossing_up,medium,False,static_collision_2,static_collision_2,437.7199051719085,131,26.200000000000003,75.9,29.263929136116744,5.533986314674044,-0.012432728725952913,17.11657258636873,12.46426232924512,69,13.8
14,crossing_up,hard,True,success,none,969.7570908616815,150,30.0,87.30000000000005,2.490882016894201,27.09607426094826,21.642070927613695,15.583541319727674,10.818131914387513,61,12.200000000000001
15,crossing_up,hard,True,success,none,1018.7143536898609,172,34.4,100.50000000000001,2.959752410658347,25.401396424626093,19.849785219361273,16.597265777951407,12.76823008378426,55,11.0
16,crossing_down,easy,False,static_collision_2,static_collision_2,392.47443827623067,110,22.0,63.300000000000004,30.771986271086213,5.457628621978827,-0.4196281473003243,26.898695997130638,22.959048129521218,95,19.0
17,crossing_down,easy,True,success,none,1006.6408446802709,157,31.400000000000002,91.50000000000007,2.9874644759222275,21.698345259628944,16.81351034580448,25.00394352318234,20.38062722130482,68,13.600000000000001
18,crossing_down,medium,True,success,none,989.4760171897711,169,33.800000000000004,98.69999999999996,2.6922864019050827,7.8129460848771535,2.40360721053621,12.310444013506444,8.630145874960252,55,11.0
19,crossing_down,medium,True,success,none,996.4620342818314,179,35.800000000000004,104.69999999999997,2.946264295616531,5.57546453479006,0.4653029205450405,13.64132570851807,9.652358724002863,56,11.200000000000001
20,crossing_down,hard,True,success,none,935.1848994834259,164,32.800000000000004,95.69999999999992,2.6237938113288286,7.74386103140838,2.873882526384107,21.06552038425282,17.03709982876098,74,14.8
21,crossing_down,hard,True,success,none,973.658047373435,154,30.8,89.69999999999997,2.801472303640637,24.362144974032123,18.737275097031493,12.882324650194676,9.011022217199077,70,14.0
22,mixed_risk,easy,True,success,none,920.9000938729837,139,27.8,80.69999999999993,2.6996073652992107,16.460032301641117,11.41248468849663,23.173717361852724,18.491297348377937,73,14.600000000000001
23,mixed_risk,hard,True,success,none,998.4240858656576,153,30.6,89.10000000000001,2.781200914383706,15.324149905157647,10.645159596136889,12.794202253343627,9.204407762519681,64,12.8
24,mixed_risk,hard,True,success,none,1007.1979637642253,166,33.2,96.89999999999999,2.919004325607449,18.336775797987144,13.321823761750075,18.07841302745012,14.0968350296319,58,11.600000000000001
25,mixed_risk,hard,True,success,none,1031.1501165882858,179,35.800000000000004,104.69999999999996,2.7174025361912357,5.018818019094909,0.1538772833973039,13.76857479244472,9.371904578639569,55,11.0
26,mixed_risk,medium,False,static_collision_2,static_collision_2,337.63500291074683,109,21.8,62.70000000000003,36.18864523410322,5.2121344403628935,-0.4213031183493783,14.785855505954908,10.141125814694474,70,14.0
27,high_risk,hard,False,static_collision_2,static_collision_2,365.63314626098116,111,22.200000000000003,63.899999999999984,32.68540270734887,5.650510514749685,-0.24939250477529296,18.53423886664141,14.468365098571518,51,10.200000000000001
28,high_risk,hard,False,static_collision_2,static_collision_2,351.2138444098098,102,20.400000000000002,58.500000000000014,27.93558986449661,5.5418788982713245,-0.00873332788684067,17.873454304714336,13.460101684632253,90,18.0
29,high_risk,hard,True,success,none,1038.7709679885256,157,31.400000000000002,91.50000000000007,2.4432681352414587,22.986742868535693,17.38261284369762,13.879221353642052,10.203959141434524,95,19.0
